Year,Inflation Rate (United States),Inflation Rate (India)
1980,13.54920197,11.34607348
1981,10.33471534,13.1125469
1982,6.131427,7.890742794
1983,3.212435233,11.8680813
1984,4.300535475,8.318907119
1985,3.545644152,5.556424232
1986,1.898047722,8.729720727
1987,3.664563218,8.801125813
1988,4.077741107,9.383471862
1989,4.82700303,7.074280029
1990,5.39795644,8.971232503
1991,4.234963965,13.87024618
1992,3.028819678,11.78781704
1993,2.951656966,6.326890488
1994,2.607441592,10.24793556
1995,2.805419689,10.22488616
1996,2.9312042,8.977152338
1997,2.337689937,7.164252115
1998,1.552279099,13.23083898
1999,2.188027197,4.66982038
2000,3.376857271,4.00943591
2001,2.826171119,3.779293122
2002,1.586031627,4.297152039
2003,2.270094973,3.805858995
2004,2.677236693,3.767251735
2005,3.392746845,4.24634362
2006,3.225944101,5.796523376
2007,2.852672482,6.372881356
2008,3.839100297,8.349267049
2009,-0.355546266,10.88235294
2010,1.640043442,11.98938992
2011,3.156841569,8.911793365
2012,2.069337265,9.478996914
2013,1.464832656,10.01787847
2014,1.622222977,6.665656719
2015,0.118627136,4.906973441
2016,1.261583206,4.948216341
2017,2.130110004,3.328173375
2018,2.442583297,3.938826467
2019,1.812210075,3.729505735
2020,1.233584396,6.623436776
2021,4.697858864,5.131407472
2022,8.002799821,6.699034141
2023,4.116338384,5.649143189
2024,2.949525205,4.95303551
